date,symbol,high,low,close,open
2022-04-21,VN30F2204,1452.00,1424.20,1435.30,1443.90
2022-04-22,VN30F2205,1459.80,1434.70,1445.00,1442.30
2022-04-25,VN30F2205,1445.60,1345.30,1353.10,1442.90
2022-04-26,VN30F2205,1393.20,1327.10,1391.00,1356.10
2022-04-27,VN30F2205,1406.00,1358.10,1401.00,1379.00
2022-04-28,VN30F2205,1406.70,1388.00,1392.00,1399.70
2022-04-29,VN30F2205,1421.60,1389.60,1409.00,1395.00
2022-05-04,VN30F2205,1410.00,1383.60,1383.00,1408.30
2022-05-05,VN30F2205,1403.60,1372.60,1402.50,1392.00
2022-05-06,VN30F2205,1396.30,1358.80,1362.00,1382.00
2022-05-09,VN30F2205,1355.80,1300.00,1308.10,1353.70
2022-05-10,VN30F2205,1340.90,1291.10,1335.00,1299.80
2022-05-11,VN30F2205,1349.00,1318.20,1337.00,1335.00
2022-05-12,VN30F2205,1334.00,1262.00,1270.00,1334.00
2022-05-13,VN30F2205,1288.10,1214.70,1225.00,1272.00
2022-05-16,VN30F2205,1261.90,1212.00,1212.00,1240.00
2022-05-17,VN30F2205,1283.00,1204.30,1280.90,1220.00
2022-05-18,VN30F2205,1304.80,1265.30,1281.00,1280.90
2022-05-19,VN30F2205,1292.90,1251.70,1283.00,1255.00
2022-05-20,VN30F2206,1299.20,1259.80,1276.80,1283.00
2022-05-23,VN30F2206,1289.00,1238.10,1253.10,1289.00
2022-05-24,VN30F2206,1271.10,1234.00,1267.00,1253.00
2022-05-25,VN30F2206,1306.00,1268.50,1299.30,1275.00
2022-05-26,VN30F2206,1310.50,1292.10,1300.90,1302.00
2022-05-27,VN30F2206,1328.80,1305.10,1322.50,1306.10
2022-05-30,VN30F2206,1331.00,1319.60,1325.60,1329.70
2022-05-31,VN30F2206,1326.80,1310.50,1320.50,1326.20
2022-06-01,VN30F2206,1337.50,1316.00,1326.00,1318.50
2022-06-02,VN30F2206,1330.00,1311.00,1315.00,1311.00
2022-06-03,VN30F2206,1323.90,1305.60,1318.50,1318.00
2022-06-06,VN30F2206,1332.00,1315.00,1315.00,1320.70
2022-06-07,VN30F2206,1315.50,1293.30,1315.00,1315.00
2022-06-08,VN30F2206,1342.00,1319.80,1333.00,1321.00
2022-06-09,VN30F2206,1339.00,1327.00,1335.30,1332.40
2022-06-10,VN30F2206,1333.80,1311.10,1311.10,1328.00
2022-06-13,VN30F2206,1289.90,1257.40,1260.20,1284.00
2022-06-14,VN30F2206,1272.50,1250.00,1268.30,1254.80
2022-06-15,VN30F2206,1270.50,1235.30,1251.30,1268.00
2022-06-16,VN30F2206,1286.50,1260.70,1286.00,1261.00
2022-06-17,VN30F2207,1249.00,1215.20,1245.20,1247.50
2022-06-20,VN30F2207,1249.40,1217.00,1212.00,1244.80
2022-06-21,VN30F2207,1240.00,1210.50,1228.00,1216.80
2022-06-22,VN30F2207,1240.90,1216.00,1216.00,1233.70
2022-06-23,VN30F2207,1230.30,1216.30,1227.80,1222.00
2022-06-24,VN30F2207,1237.90,1226.00,1227.00,1236.00
2022-06-27,VN30F2207,1247.90,1234.00,1247.90,1236.00
2022-06-28,VN30F2207,1266.50,1242.70,1261.00,1246.00
2022-06-29,VN30F2207,1262.90,1251.10,1260.50,1255.00
2022-06-30,VN30F2207,1264.80,1240.10,1240.10,1262.00
2022-07-01,VN30F2207,1243.50,1221.50,1242.00,1241.00
2022-07-04,VN30F2207,1252.10,1238.10,1242.00,1247.00
2022-07-05,VN30F2207,1251.90,1234.00,1234.90,1248.30
2022-07-06,VN30F2207,1234.80,1213.40,1218.00,1234.80
2022-07-07,VN30F2207,1226.20,1213.00,1225.00,1215.70
2022-07-08,VN30F2207,1231.80,1223.50,1225.00,1230.50
2022-07-11,VN30F2207,1221.80,1197.10,1200.70,1221.00
2022-07-12,VN30F2207,1216.00,1201.90,1213.50,1202.00
2022-07-13,VN30F2207,1220.10,1209.50,1210.00,1215.00
2022-07-14,VN30F2207,1217.90,1204.40,1215.70,1206.80
2022-07-15,VN30F2207,1221.80,1209.20,1210.10,1219.00
2022-07-18,VN30F2207,1221.00,1212.20,1215.40,1218.20
2022-07-19,VN30F2207,1216.40,1208.10,1213.00,1213.90
2022-07-20,VN30F2207,1230.80,1221.40,1226.10,1223.50
2022-07-21,VN30F2207,1242.00,1225.20,1234.10,1225.30
2022-07-22,VN30F2208,1234.00,1223.30,1225.60,1230.50
2022-07-25,VN30F2208,1224.70,1217.20,1221.90,1221.90
2022-07-26,VN30F2208,1225.50,1217.30,1218.90,1222.10
2022-07-27,VN30F2208,1223.00,1213.00,1223.00,1216.00
2022-07-28,VN30F2208,1237.30,1228.30,1231.60,1228.80
2022-07-29,VN30F2208,1236.90,1229.10,1230.70,1236.80
2022-08-01,VN30F2208,1246.00,1231.00,1244.40,1232.10
2022-08-02,VN30F2208,1249.40,1238.30,1245.90,1244.70
2022-08-03,VN30F2208,1252.90,1242.00,1250.00,1245.40
2022-08-04,VN30F2208,1260.00,1252.20,1257.50,1256.00
2022-08-05,VN30F2208,1264.50,1254.70,1264.50,1259.00
2022-08-08,VN30F2208,1267.80,1261.30,1266.00,1263.50
2022-08-09,VN30F2208,1275.80,1264.10,1272.70,1264.50
2022-08-10,VN30F2208,1273.80,1268.60,1270.60,1271.00
2022-08-11,VN30F2208,1288.00,1268.00,1268.00,1282.70
2022-08-12,VN30F2208,1280.10,1266.20,1280.10,1268.00
2022-08-15,VN30F2208,1294.50,1284.70,1293.00,1285.20
2022-08-16,VN30F2208,1297.50,1291.40,1296.90,1296.70
2022-08-17,VN30F2208,1311.20,1298.50,1309.00,1299.80
2022-08-18,VN30F2208,1312.90,1304.60,1304.80,1306.90
2022-08-19,VN30F2209,1292.10,1276.10,1281.00,1292.10
2022-08-22,VN30F2209,1278.90,1270.30,1271.00,1275.00
2022-08-23,VN30F2209,1283.10,1264.40,1283.10,1265.70
2022-08-24,VN30F2209,1287.80,1278.40,1285.20,1282.00
2022-08-25,VN30F2209,1304.30,1286.90,1303.00,1287.00
2022-08-26,VN30F2209,1305.90,1290.00,1293.00,1305.20
2022-08-29,VN30F2209,1286.00,1264.70,1286.00,1270.90
2022-08-30,VN30F2209,1295.70,1280.30,1287.00,1288.70
2022-08-31,VN30F2209,1298.50,1277.60,1293.90,1282.00
2022-09-05,VN30F2209,1298.50,1282.50,1286.00,1294.00
2022-09-06,VN30F2209,1295.90,1286.60,1290.00,1287.50
2022-09-07,VN30F2209,1286.80,1265.00,1265.00,1283.00
2022-09-08,VN30F2209,1275.60,1263.40,1264.10,1269.50
2022-09-09,VN30F2209,1275.00,1259.20,1275.00,1269.00
2022-09-12,VN30F2209,1283.20,1275.10,1276.80,1281.00
2022-09-13,VN30F2209,1278.80,1272.00,1272.00,1278.30
2022-09-14,VN30F2209,1262.00,1248.00,1259.00,1252.00
2022-09-15,VN30F2209,1263.50,1256.60,1262.20,1261.00
2022-09-16,VN30F2210,1254.30,1233.20,1237.00,1254.10
2022-09-19,VN30F2210,1239.00,1218.00,1223.50,1239.00
2022-09-20,VN30F2210,1235.40,1221.60,1232.70,1228.00
2022-09-21,VN30F2210,1229.00,1213.50,1219.60,1228.00
2022-09-22,VN30F2210,1225.00,1203.70,1225.00,1208.00
2022-09-23,VN30F2210,1223.00,1204.00,1210.00,1221.90
2022-09-26,VN30F2210,1199.00,1173.60,1192.00,1199.00
2022-09-27,VN30F2210,1196.30,1183.00,1185.00,1190.70
2022-09-28,VN30F2210,1178.00,1160.90,1165.00,1173.50
2022-09-29,VN30F2210,1176.90,1148.00,1148.00,1176.90
2022-09-30,VN30F2210,1164.70,1136.40,1150.00,1143.90
2022-10-03,VN30F2210,1147.00,1096.80,1102.60,1145.00
2022-10-04,VN30F2210,1125.00,1093.90,1102.00,1113.50
2022-10-05,VN30F2210,1134.40,1113.30,1115.20,1114.00
2022-10-06,VN30F2210,1119.40,1080.00,1080.00,1118.50
2022-10-07,VN30F2210,1072.00,1025.00,1032.20,1065.00
2022-10-10,VN30F2210,1050.00,1006.10,1032.50,1010.10
2022-10-11,VN30F2210,1027.60,979.70,989.00,1024.00
2022-10-12,VN30F2210,1038.90,995.00,1025.10,996.70
2022-10-13,VN30F2210,1039.60,1004.60,1039.60,1027.50
