type,capital_open,capital_close,date_open,date_close
LONG,1009124872.273548,1009693541.1036294,2021-07-13 09:49:00,2021-07-13 10:29:00
LONG,1009693541.1036294,1009584245.8154652,2021-07-13 11:04:00,2021-07-14 09:01:00
SHORT,1009584245.8154652,1009760498.1023761,2021-07-14 09:02:00,2021-07-14 09:16:00
LONG,1009760498.1023761,1007861343.1298273,2021-07-14 09:56:00,2021-07-15 10:34:00
LONG,1007861343.1298273,1008113665.8632492,2021-07-15 10:41:00,2021-07-15 11:05:00
LONG,1008113665.8632492,1008786070.9049399,2021-07-15 14:22:00,2021-07-16 09:00:00
LONG,1008786070.9049399,1008879178.8490275,2021-07-16 09:53:00,2021-07-16 10:04:00
LONG,1008879178.8490275,1008916234.0094426,2021-07-16 10:46:00,2021-07-16 11:03:00
LONG,1008916234.0094426,1009205596.7904466,2021-07-16 11:15:00,2021-07-16 11:23:00
LONG,1009205596.7904466,1009284835.4177655,2021-07-16 13:00:00,2021-07-16 13:14:00
SHORT,1009284835.4177655,1007980964.2105435,2021-07-20 13:44:00,2021-07-21 11:07:00
LONG,1007980964.2105435,1008427474.5494963,2021-07-21 13:21:00,2021-07-22 10:09:00
LONG,1008427474.5494963,1008763002.2615545,2021-07-22 11:23:00,2021-07-22 13:00:00
LONG,1008763002.2615545,1008906777.3717554,2021-07-22 13:12:00,2021-07-22 13:21:00
LONG,1008906777.3717554,1008626975.7716041,2021-07-22 14:04:00,2021-07-23 09:29:00
LONG,1008626975.7716041,1007206105.174023,2021-07-23 09:48:00,2021-07-26 13:51:00
LONG,1007206105.174023,1007508524.383626,2021-07-26 14:19:00,2021-07-27 09:00:00
LONG,1007508524.383626,1007687967.9997253,2021-07-27 10:24:00,2021-07-27 10:49:00
LONG,1007687967.9997253,1007845961.6838032,2021-07-27 11:12:00,2021-07-27 13:05:00
LONG,1007845961.6838032,1007613726.0207276,2021-07-27 13:11:00,2021-07-28 10:20:00
SHORT,1007613726.0207276,1008099400.1032063,2021-07-28 10:22:00,2021-07-28 10:47:00
LONG,1008099400.1032063,1008494775.2579986,2021-07-28 10:49:00,2021-07-28 13:21:00
LONG,1008494775.2579986,1008840042.4655756,2021-07-28 13:33:00,2021-07-29 09:08:00
SHORT,1008840042.4655756,1006883335.8379875,2021-07-29 09:09:00,2021-08-02 09:12:00
LONG,1006883335.8379875,1007087811.0371839,2021-08-02 09:13:00,2021-08-02 09:25:00
LONG,1007087811.0371839,1006992421.7741085,2021-08-02 09:54:00,2021-08-02 10:12:00
LONG,1006992421.7741085,1007098647.5328864,2021-08-02 11:13:00,2021-08-02 13:01:00
LONG,1007098647.5328864,1007253510.998891,2021-08-02 13:04:00,2021-08-02 13:16:00
LONG,1007253510.998891,1007033925.4387599,2021-08-02 14:05:00,2021-08-03 09:22:00
SHORT,1007033925.4387599,1007063704.999171,2021-08-03 09:38:00,2021-08-03 13:14:00
LONG,1007063704.999171,1007148920.2136143,2021-08-03 13:15:00,2021-08-03 13:25:00
LONG,1007148920.2136143,1007476893.6657734,2021-08-03 13:35:00,2021-08-03 13:47:00
SHORT,1007476893.6657734,1006831640.1802199,2021-08-03 14:14:00,2021-08-04 10:07:00
LONG,1006831640.1802199,1006751889.7896565,2021-08-04 10:59:00,2021-08-04 13:01:00
LONG,1006751889.7896565,1006870290.9296522,2021-08-04 13:33:00,2021-08-05 10:30:00
LONG,1006870290.9296522,1007036269.8189378,2021-08-05 10:55:00,2021-08-05 11:12:00
LONG,1007036269.8189378,1007229864.8629965,2021-08-05 11:18:00,2021-08-05 13:03:00
LONG,1007229864.8629965,1007600989.119372,2021-08-05 13:19:00,2021-08-05 13:24:00
LONG,1007600989.119372,1008012770.4792087,2021-08-05 13:57:00,2021-08-05 14:04:00
